N,D,M,F,H,RH,T,RT,RO,,,,,,PF,DPF,MCF,ECS
2,50,6.26,120,29.623,0.34,1.112,0.32,0.305,,,,,,15.658,1.109,6.363,25.812
2,50,9.75,120,49.654,0.55,0.994,0.19,0.3283,,,,,,14.629,1.153,6.186,41.791
2,50,9.07,120,50.12,0.33,0.952,0.25,0.3562,,,,,,13.812,1.156,5.322,44.597
2,32,11.5,72,100.015,0.4,0.906,0.15,0.361,,,,,,9.154,2.14,4.028,88.779
2,40,14.07,120,100.53,0.19,0.898,0.14,0.4107,,,,,,14.679,1.181,4.574,93.851
2,40,4.47,120,30.231,0.35,0.973,0.29,0.3888,,,,,,14.849,1.104,4.501,26.952
3,50,25.49,120,99.992,0.48,1.274,0.08,0.3793,,,,,,20.49,2.059,12.355,80.941
3,63,10.97,120,30.12,0.56,1.423,0.22,0.363,,,,,,26.687,1.627,15.582,22.994
3,50,8.59,120,30.087,0.25,1.445,0.25,0.3387,,,,,,25.65,1.152,11.177,20.73
3,50,27.5,120,99.612,1.09,1.278,0.18,0.3502,,,,,,21.779,2.415,13.13,85.837
3,50,26.38,120,100.592,0.28,1.316,0.37,0.3687,,,,,,22.303,1.96,12.022,84.08
3,32,7.68,72,50.592,1.26,1.134,0.25,0.4102,,,,,,10.946,2.061,6.436,41.997
3,63,10.52,120,30.052,0.52,1.399,0.48,0.3776,,,,,,26.748,1.544,13.836,21.914
3,32,4.44,72,30.295,0.15,1.15,0.21,0.4249,,,,,,12.519,1.028,6.147,20.872
3,32,14.6,72,100.135,0.34,1.181,0.19,0.4271,,,,,,13.105,2.274,6.191,91.791
3,32,14.66,72,100.392,0.42,1.061,0.24,0.4264,,,,,,12.609,2.139,4.966,90.622
5,50,45.51,120,100.347,0.3,2.19,0.18,0.3553,,,,,,42.448,2.671,22.097,81.218
5,32,20.95,72,99.77,0.16,1.549,0.13,0.4943,,,,,,18.235,2.398,9.786,86.721
5,40,40.36,120,99.636,0.32,2.333,0.48,0.3548,,,,,,38.384,1.997,18.58,82.028
5,63,60.84,120,99.974,0.42,2.299,0.31,0.362,,,,,,43.442,3.581,20.476,81.065
5,63,28.45,120,49.994,2.28,2.201,0.59,0.3872,,,,,,35.098,3.738,24.167,36.939
5,32,6.69,72,30.356,0.28,1.644,0.25,0.4709,,,,,,20.235,1.168,8.59,19.48
7,50,34.07,120,50.557,0.23,3.14,0.56,0.3348,,,,,,58.474,2.283,32.701,38.076
9,50,44.65,120,50.104,1.43,4.135,0.36,0.3255,,,,,,66.828,2.732,38.438,37.303
